Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
AIML-71.pdf,90.28,56.49,23.48921568627451,1045,"semi-decentralized: 9, federated: 81, learning: 118, with: 113, cooperative: 15, local: 168, model: 205, aggregations: 48, po-chen: 2, member: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-71.pdf_repetitive_words_full_list.txt,1.05,0.07
AIML-72.pdf,65.59,47.99,18.589785831960462,807,"towards: 4, communication-efficient: 24, personalized: 68, federated: 68, learning: 126, decentralized: 73, sparse: 72, training: 99, rong: 2, shen: 11...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-72.pdf_repetitive_words_full_list.txt,1.86,0.17
AIML-73.pdf,83.54,57.16,14.378021978021978,854,"federated: 95, graph: 223, machine: 62, learning: 139, survey: 9, concepts: 6, techniques: 34, applications: 27, zhang: 32, dong: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-73.pdf_repetitive_words_full_list.txt,35.01,0.12
AIML-74.pdf,7.36,41.9,17.174074074074074,424,"multi-agent: 15, systems: 29, decentralized: 21, artificial: 40, moscow: 3, power: 5, engineering: 3, institute: 2, technology: 9, multi-agents: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-74.pdf_repetitive_words_full_list.txt,2.54,0.13
AIML-75.pdf,76.38,47.28,15.33030303030303,1706,"multiagent: 127, systems: 158, survey: 16, from: 90, machine: 13, learning: 126, perspective: 12, peter: 11, stone: 28, manuela: 13...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-75.pdf_repetitive_words_full_list.txt,1.88,0.2
AIML-76.pdf,67.32,53.07,10.81128965801401,1848,"chapter: 8, coordination: 239, infrastructures: 52, engineering: 231, multiagent: 63, systems: 260, omicini: 48, ossowski: 18, ricci: 19, abstract: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-76.pdf_repetitive_words_full_list.txt,34.97,0.06
AIML-77.pdf,32.81,47.28,14.324473975636767,1161,"agent-based: 7, systems: 57, technology: 5, recent: 2, years: 3, because: 25, promise: 2, paradigm: 2, designing: 6, software: 11...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-77.pdf_repetitive_words_full_list.txt,35.78,0.11
AIML-78.pdf,97.78,37.4,17.307894736842105,1057,"resilience: 19, reliability: 22, coordination: 32, autonomous: 57, multi-agent: 54, systems: 95, cardoso: 18, logan: 44, meneguzzi: 53, oren: 38...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-78.pdf_repetitive_words_full_list.txt,2.04,0.09
AIML-79.pdf,18.34,36.18,10.59006734006734,955,"m¨alardalen: 3, university: 3, design: 3, engineering: 3, v¨aster˚as: 3, sweden: 3, science: 3, computer: 3, explainable: 21, multi-agent: 85...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-79.pdf_repetitive_words_full_list.txt,35.45,0.12
AIML-8.pdf,97.42,36.69,19.73109243697479,224,"technology: 7, india: 2, automatic: 16, irrigation: 45, crop: 26, monitoring: 14, system: 44, using: 17, deep: 19, learning: 19...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-8.pdf_repetitive_words_full_list.txt,2.71,0.29
AIML-80.pdf,5.21,29.14,16.891156462585034,252,"unesco: 6, eolss: 12, sample: 6, chapters: 6, knowledge: 10, management: 6, organizational: 11, intelligence: 27, learning: 8, complexity: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-80.pdf_repetitive_words_full_list.txt,2.96,0.21
AIML-9.pdf,97.56,42.41,20.681818181818183,298,"computational: 2, technology: 4, number: 2, research: 10, india: 4, comparison: 5, machine: 19, learning: 19, algorithms: 11, detection: 15...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-9.pdf_repetitive_words_full_list.txt,3.15,0.29
